model,branch,final_sha,hypothesis,input_data,physical_observables,features,model_structure,training,threshold,attack_data_used,gate,terminal_result,failure_cause,failure_type,texbat_repeat_risk,substantive_duplicates,evidence
CORA,origin/research/cora-stage0-cross-prn-common-origin,3e6149f529db8f9e52a215ed696c28896c761844,At least four clean-conditioned PRNs share a rank-one off-diagonal fourth-cumulant component under a common emitter.,OAKBAT/TEXBAT cleanStatic and static attacks,complex residual fourth-order cumulants across PRNs,rank-one common-origin statistic with nuisance conditioning,non-neural alpha=0 cumulant test,normal-only crossfit conditioning/covariance,clean q99,true,"clean/external FPR, families, ablations, relation destruction, LOPO, shortcuts",NO_GO_CORA_COMMON_ORIGIN_HYPOTHESIS,"Clean/external FPR, family recovery, ablation superiority, relation destruction, LOPO and shortcut gates failed.",PHYSICAL_NO_GO,HIGH,"CINDER, CHORD, TRCD, GCSPO",3e6149f529db8f9e52a215ed696c28896c761844:artifacts/cora_stage0_cross_prn_common_origin/README.md | 3e6149f529db8f9e52a215ed696c28896c761844:artifacts/cora_stage0_cross_prn_common_origin/final_verdict.json | 3e6149f529db8f9e52a215ed696c28896c761844:artifacts/cora_stage0_cross_prn_common_origin/config.json
CINDER,origin/research/cinder-stage0a-clean-emitter-identifiability,05c1f9f33661ef20584a1db4cdd8fdf7c495b419,A GPS transmitter retains a chip-synchronous non-Gaussian fourth-cumulant residual after nuisance quotienting.,OAKBAT/TEXBAT cleanStatic raw IQ only,fourth-order cyclic cumulants at chip-related lags/cyclic frequencies,88-real Hermitian quotient from 30 complex C4 values,robust scaling plus diagonal-shrinkage Mahalanobis,clean feature/metric/calibration/final holdout blocks,calibration balanced-accuracy threshold for identifiability,false,AUC/CI/worst-seed/baseline-margin/sensitivity/permutation,NO_GO_CINDER_CLEAN_IDENTIFIABILITY,Full-C4 median AUC was 0.537/0.532 with CIs crossing chance and Doppler/CN0 shortcuts stronger.,PHYSICAL_NO_GO,HIGH,"CHORD, CORA, BITPROBE",05c1f9f33661ef20584a1db4cdd8fdf7c495b419:artifacts/cinder_stage0a_clean_emitter_identifiability/README.md | 05c1f9f33661ef20584a1db4cdd8fdf7c495b419:artifacts/cinder_stage0a_clean_emitter_identifiability/final_verdict.json | 05c1f9f33661ef20584a1db4cdd8fdf7c495b419:artifacts/cinder_stage0a_clean_emitter_identifiability/preregistration.json
CRID,origin/research/crid-stage0-r4d-ds3-empty-trace-manifest-repair,2cb81593783cb4c8db2d0d38ecc71d9850fafadf,A spoofed signal causes configuration-specific tracking responses that cannot be explained by a shared latent receiver state.,OAK/TEX clean controls through four configurations; exploratory TEXBAT DS3,DLL/PLL/FLL/filter/prompt/EPL response under C0-C3,shared FIR innovations and H0 shared-state versus H1 config-specific RSS gain,"linear predictor, shrinkage covariance, BIC-corrected H0/H1 median pooling",normal-only clean split,"authoritative clean q99, TEX -21.942672917134093",true,"clean FPR, physical controls, four-config/four-PRN support, exploratory DS3 gate",EXPLORATORY_TEXBAT_DS3_NO_USEFUL_SIGNAL,Phase A became impossible after all 15 OAK negatives failed; locked DS3 established detection was 5.37% and pAUC0.05 0.511.,PHYSICAL_NO_GO,HIGH,"MCTD, GCSPO",2cb81593783cb4c8db2d0d38ecc71d9850fafadf:artifacts/crid_stage0_r4d_ds3_empty_trace_manifest_repair/README.md | 2cb81593783cb4c8db2d0d38ecc71d9850fafadf:artifacts/crid_stage0_r4d_ds3_empty_trace_manifest_repair/final_verdict.json | 5051a0a5085a3ac5ce765b7d2b4f9b6159628017:artifacts/crid_stage0_r4b_phase_a_physical_identifiability_execution/phase_a_gate.json
CRISP,origin/research/crisp-stage0-r1-provenance-closure,ffc7531060b1b6a1d730cfb847e5f636dfc62b05,Projective rigidity of complex nine-tap directions loses temporal coherence under overlap attacks.,TEXBAT DS3/DS7 and OAKBAT OS3/OS4 receiver-native TRACE,complex nine-tap rank-one projectors and causal differences,"whitened predictor innovation, second-largest PRN, 20 ms blocks",shared ridge predictor plus shrinkage whitening,clean chronological train/calibration/holdout,clean q99 with three consecutive crossings,true,"3/4 core detections, controls, FPR, ablations, coverage",NO_GO_CRISP_PHYSICAL_HYPOTHESIS,Only OS4 passed rate/delay; DS3 and DS7 lacked persistent projective innovation despite adequate support.,PHYSICAL_NO_GO,HIGH,"AMCF, CHORD, B0",ffc7531060b1b6a1d730cfb847e5f636dfc62b05:artifacts/crisp_stage0_static/README.md | ffc7531060b1b6a1d730cfb847e5f636dfc62b05:artifacts/crisp_stage0_static/final_verdict.json | ffc7531060b1b6a1d730cfb847e5f636dfc62b05:artifacts/crisp_stage0_static/preregistration.json
GCSPO,origin/research/gcspo-stage0-r2-runner-simulation,4cc0231e14237c319a6f51cf039f1b977c8714e2,Whitened multi-PRN tracking innovations admit a common geometry state during coordinated pull-off.,"TEXBAT cleanStatic, DS3/DS7; DS4/DS8 unavailable","complex EPL, DLL/PLL, carrier Doppler, code frequency and satellite geometry","VAR residuals, H0/H1 shared position/clock/velocity state",linear VAR plus penalized physical-state smoother,clean train/validation/calibration/holdout,clean q99,true,"source-valid transfer, FPR, controls, B0/A2/A5, relation destruction, shared-state plausibility",EVALUATION_INCOMPLETE_SOURCE_OR_SUPPORT,DS4/DS8 and exact comparators were unavailable; available Full scores also failed every scientific criterion and controls.,MIXED_DATASET_AND_PHYSICAL,HIGH,"GCMR, CRID, Q-COMET",4cc0231e14237c319a6f51cf039f1b977c8714e2:artifacts/gcspo_stage0_r2_runner_simulation_evidence/README.md | 4cc0231e14237c319a6f51cf039f1b977c8714e2:artifacts/gcspo_stage0_r2_runner_simulation_evidence/final_verdict.json | 4cc0231e14237c319a6f51cf039f1b977c8714e2:artifacts/gcspo_stage0_r2_runner_simulation_evidence/config.json
MCTD,origin/research/mctd-stage0-static,35b6d4db516e581c69d5fa196f6ed16ee58afbf2,Spoofing creates differential response between slow and fast DLL/PLL configurations.,TEXBAT DS3/DS7 and OAKBAT OS3/OS4 replays,counterfactual loop-state and tap response,slow-fast paired residual families A0-A5/Full,robust center plus Ledoit-Wolf covariance and median pooling,clean chronological roles,"domain clean q99, three consecutive 100 ms blocks",true,"config collapse, FPR, family detection, Full contribution and controls",NO_GO_MCTD_PHYSICAL_HYPOTHESIS,"Full added no benefit in any family, external FPR failed, and required nuisance/pair-destruction controls were unavailable or failed.",PHYSICAL_NO_GO,HIGH,CRID,35b6d4db516e581c69d5fa196f6ed16ee58afbf2:artifacts/mctd_stage0_static/README.md | 35b6d4db516e581c69d5fa196f6ed16ee58afbf2:artifacts/mctd_stage0_static/final_verdict.json | 35b6d4db516e581c69d5fa196f6ed16ee58afbf2:artifacts/mctd_stage0_static/preregistration.json
MIRAGE,origin/research/mirage-stage0a-r1-full-execution,e26ce3125d096f699cf4ce01772ef8bf8e1b83dc,Complex adjacent CAF minors across 20/100/500 ms expose multi-source mixtures before real attacks.,OAK/TEX clean raw IQ plus 84 controlled clean injections,multiscale complex CAF rank/minor structure,relative squared adjacent complex minors and clean tail surprise,non-neural multiscale max then median over PRNs,clean robust reference/calibration,dataset clean q99,false,"strong single/four-PRN detection, controls, destruction, multiscale, shortcuts",NO_GO_MIRAGE_PHYSICAL_HYPOTHESIS,"Strong-injection detection, relation destruction, PRN dominance, multiscale, and RMS/CN0 shortcut gates failed.",PHYSICAL_NO_GO,HIGH,"MOSAIC, PG-SCC, ACAF-NF",e26ce3125d096f699cf4ce01772ef8bf8e1b83dc:artifacts/mirage_stage0a_r1_full_execution/README.md | e26ce3125d096f699cf4ce01772ef8bf8e1b83dc:artifacts/mirage_stage0a_r1_full_execution/final_verdict.json | e26ce3125d096f699cf4ce01772ef8bf8e1b83dc:artifacts/mirage_stage0a_r1_full_execution/preregistration.json
MOSAIC,origin/research/mosaic-stage0b-r1c-root-cause-correction,b90d0f72bc6686e66dce06c617f1ca6895c0886b,A dense local CAF two-source model recovers injected secondary paths at single and multi-PRN support.,OAK/TEX clean raw-IQ injections; 72 frozen design cases,"raw-recorrelated complex CAF, code delay/Doppler, NAV-bit-aligned response","H0/H1 BIC improvement, oracle recovery, projection and support diagnostics","physical two-source fit, not neural",clean templates and frozen design grid,frozen single/four-PRN recovery gates,false,"single physics, multi-PRN recovery, controls, target specificity, dominance",NO_GO_MOSAIC_MULTI_PRN_RECOVERY,Multi-PRN recovery and PRN-dominance gates failed; root-cause correction found no discriminative template/lock explanation and terminated Stage-1.,PHYSICAL_NO_GO,HIGH,"PG-SCC, MIRAGE, ACAF-NF",b90d0f72bc6686e66dce06c617f1ca6895c0886b:artifacts/mosaic_stage0b_r1c_root_cause_correction/README.md | b90d0f72bc6686e66dce06c617f1ca6895c0886b:artifacts/mosaic_stage0b_r1c_root_cause_correction/corrected_final_recommendation.json | 7f5431bc68039ec4c2119867226a586533d5e1ac:artifacts/mosaic_stage0b_r1a_frozen_analysis/final_verdict.json
NC-TOPI,origin/research/nc-topi-stage0b-audit,c6954a8ef461bd0789f252ca7cae87ce8e59442a,A normalized complex temporal operator innovation contains useful structure beyond low-IQ/scale shortcuts.,TEXBAT development plus DS7/DS8 audit metrics,complex I/Q temporal operator and estimated scale,TOPI/NC-TOPI scores with clamped and shortcut ablations,normal-conditioned operator model,cleanStatic,frozen Stage-0 thresholds,true,"paired low-FPR comparisons, normal support, shortcut dominance",IQ_SHORTCUT_DOMINATED,"Alarm overlap with low-IQ shortcut was near 1, and the independent profile lacked normal support.",PHYSICAL_NO_GO,HIGH,M1 raw-IQ texture,c6954a8ef461bd0789f252ca7cae87ce8e59442a:artifacts/nc_topi_stage0b_audit/README.md | c6954a8ef461bd0789f252ca7cae87ce8e59442a:artifacts/nc_topi_stage0b_audit/decision.json | c6954a8ef461bd0789f252ca7cae87ce8e59442a:artifacts/nc_topi_stage0b_audit/config.json
PG-SCC,origin/research/pg-scc-stage0-r2-repair-followup,68ab54677f5d0b4b55cc39279aec631f60f655a9,A physics-guided sparse subset of complex CAF coordinates retains two-source GLRT evidence at low compute.,cleanStatic synthetic bank and TEXBAT DS3/DS4/DS7/DS8-derived campaign,dense/sparse complex delay-Doppler CAF,two-source whitened RSS improvement at selected coordinates,sparse physical GLRT with learned mask,clean/synthetic selector; no attack-label selection,clean calibration q99/q99.5,true,"sparse-vs-dense gap, controls, fixed/random masks, FPR, families",NO_GO,"K9 lagged dense pAUC by 13.4%, beat no fixed9 family, failed controls and worst-FPR gate, and did not beat random/uniform/shuffled masks.",PHYSICAL_NO_GO,HIGH,"MOSAIC, ACAF-NF, MIRAGE",68ab54677f5d0b4b55cc39279aec631f60f655a9:artifacts/pg_scc_stage0_static_k9/README.md | 68ab54677f5d0b4b55cc39279aec631f60f655a9:artifacts/pg_scc_stage0_static_k9/final_verdict.json | 68ab54677f5d0b4b55cc39279aec631f60f655a9:artifacts/pg_scc_stage0_static_k9/frozen_design.json
Q-COMET,origin/research/q-comet-stage0-static,0835fe00f6bec95c1e239b8705da9680b78d373a,A causal common change point in nuisance-projected complex nine-tap innovations marks coordinated spoofing onset.,TEXBAT DS3/DS4/DS7/DS8 and OAKBAT OS1-OS4,complex nine-tap innovation after gain/phase/delay/Doppler tangent quotient,per-PRN Bayes factors over step/ramp/transient bases and common onset scan,ridge VAR plus causal 10 s generalized likelihood score,cleanStatic chronological roles,clean calibration-B q99/q99.5,true,"clean/external FPR, ablations, relation destruction, plausible onset in TEX/OAK",NO_GO_SHARED_ONSET_HYPOTHESIS,"No TEXBAT family reproduced plausible onset, only one OAK scenario did, controls alarmed, and relation destruction qualified one family.",PHYSICAL_NO_GO,HIGH,"TRCD, CORA, GCSPO",0835fe00f6bec95c1e239b8705da9680b78d373a:artifacts/q_comet_stage0_static/README.md | 0835fe00f6bec95c1e239b8705da9680b78d373a:artifacts/q_comet_stage0_static/final_verdict.json | 0835fe00f6bec95c1e239b8705da9680b78d373a:artifacts/q_comet_stage0_static/config.json
BITPROBE,origin/research/bitprobe-stage0a-r0b-relaxed-gate-sensitivity,8025f331444e600bee97baf28ad3cb7af9410381,PRN-conditioned NAV-bit edge residual kernels expose a common transmitter operator distinct from receiver filtering.,OAK/TEX cleanStatic raw IQ and NAV/TRACE alignment only,complex NAV-bit flip/no-flip edge impulse response,"cross-PRN kernel coherence, distances, separability and third-order common operator",non-neural edge estimator with block bootstrap/permutation,clean-only split halves,preregistered identifiability gates; post-hoc relaxed grid diagnostic,false,"support, reproducibility, between-PRN separability, flip specificity, nuisance, synthetic control",INCONCLUSIVE_BITPROBE_STAGE0A_R0A_INFERENCE_REPAIR; NO_ROBUST_SIGNAL_UNDER_RELAXED_GATES,R0a found a remaining flip-specificity resampling mismatch; all corrected point estimates still failed and R0b found no robust signal even under lenient gates.,MIXED_IMPLEMENTATION_AND_PHYSICAL,HIGH,"CINDER, CHORD, MOSAIC NAV-edge path",8025f331444e600bee97baf28ad3cb7af9410381:artifacts/bitprobe_stage0a_r0a_inference_contract_repair/final_verdict.json | 8025f331444e600bee97baf28ad3cb7af9410381:artifacts/bitprobe_stage0a_r0b_relaxed_gate_sensitivity/final_verdict.json | 8025f331444e600bee97baf28ad3cb7af9410381:artifacts/bitprobe_stage0a_r0b_relaxed_gate_sensitivity/README.md
Q-SET,origin/research/qset-gnss-stage0a-r2a-ss1-receiver-support-audit,798667d0902efc04b09b40f5f4c6064b41c418da,Partial spoofing can be detected with quantiles over the actual available PRN panel rather than a fixed ten-slot panel.,Tuni2025 Galileo C-1 clean and SS-1; other attacks unopened,Galileo E1 per-PRN receiver timeline intended for quantile aggregation,planned dynamic-panel Q50/Q70/Q90/MAX/MEAN/MULTI-Q,non-neural variable-set quantile aggregator,clean calibration intended,clean thresholds intended; no SS-1 score computed,true,"receiver support >=4 PRNs, clean regression, false alarm, local signal, aggregation",RECEIVER_REPAIR_FAILED_CLEAN_REGRESSION,"SS-1 acquired only three PRNs; repair variants were receiver-dependent and the selected variant failed clean regression, so scoring stopped.",IMPLEMENTATION_FAILURE,MEDIUM,B0/CMTE PRN-set aggregation only; Galileo data domain differs,798667d0902efc04b09b40f5f4c6064b41c418da:artifacts/qset_gnss_stage0a_r2_galileo_partial_prn_execution/final_verdict.json | 798667d0902efc04b09b40f5f4c6064b41c418da:artifacts/qset_gnss_stage0a_r2a_ss1_receiver_support_audit/final_verdict.json | 798667d0902efc04b09b40f5f4c6064b41c418da:artifacts/qset_gnss_stage0a_r2a_ss1_receiver_support_audit/README.md
Early multiview graph,research/early-detection-multiview (local-only),2b4254fcede08af0572f4e1f6e167f1cf919a308,"Fusion of complex taps, loop state, geometry, and graph relations improves early detection.",normal multiview and sealed TEXBAT adapters intended,"complex taps, loop states, geometry and receiver-local change",heteroscedastic graph/set representations,multiview graph/set neural models,normal-only four-way split contract,clean q99 intended,false,no committed result artifact,CODE_ONLY_LOCAL_BRANCH,No promoted compact science result; the observables were later exercised separately by GCMR/GCSPO/CRISP.,NOT_EVALUATED,HIGH,"GCMR, CLIF-IP, GCSPO",2b4254fcede08af0572f4e1f6e167f1cf919a308:artifacts/multiview/README.md | 2b4254fcede08af0572f4e1f6e167f1cf919a308:src/gnss_doppler_lab/multiview/models.py | 2b4254fcede08af0572f4e1f6e167f1cf919a308:scripts/sealed_multiview_attack_evaluation.py
